,sadness,joy,love,anger,fear,surprise,accuracy,macro avg,weighted avg
precision,0.9704347826086956,0.9373219373219374,0.8141025641025641,0.9014084507042254,0.909952606635071,0.6805555555555556,0.92,0.8689626494880082,0.9206685186616456
recall,0.9604130808950087,0.9467625899280575,0.7987421383647799,0.9309090909090909,0.8571428571428571,0.7424242424242424,0.92,0.8727323332773392,0.92
f1-score,0.9653979238754326,0.9420186113099499,0.8063492063492064,0.9159212880143113,0.8827586206896552,0.7101449275362319,0.92,0.8704317629624644,0.9201472514486874
support,581.0,695.0,159.0,275.0,224.0,66.0,0.92,2000.0,2000.0
